Modulo,Argomento
Economia e Gestione delle Imprese,Ruolo economico e sociale dell’impresa
Economia e Gestione delle Imprese,Interdipendenza impresa-ambiente
Economia e Gestione delle Imprese,Stakeholder e imprenditore
Economia e Gestione delle Imprese,Gestione strategica e indirizzi strategici
Economia e Gestione delle Imprese,Strategie competitive e sviluppo dimensionale
Economia e Gestione delle Imprese,Processo di direzione e controllo
Economia e Gestione delle Imprese,Gestione risorse umane e leadership
Economia e Gestione delle Imprese,Sistema informativo e gestione conoscenza
Economia e Gestione delle Imprese,Marketing e gestione commerciale
Economia e Gestione delle Imprese,Processo produttivo e impianti
Economia e Gestione delle Imprese,Gestione finanziaria e logistica
Economia e Gestione delle Imprese,"Ricerca, sviluppo e tecniche gestionali"
